Variable,Assumption,Calibrated Output,Climate Impact Parameter,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Policy,Unit,Value,Min,Max
"Ocean.Initial Cold surface ocean carbon reservoir[44]",0,0,0,0,0,0,0,0,0,411.637167755,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[45]",0,0,0,0,0,0,0,0,0,116.363451322,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[46]",0,0,0,0,0,0,0,0,0,377.428701561,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[47]",0,0,0,0,0,0,0,0,0,474.419237268,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[48]",0,0,0,0,0,0,0,0,0,120.742571631,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[49]",0,0,0,0,0,0,0,0,0,242.608963015,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[50]",0,0,0,0,0,0,0,0,0,317.584577377,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[51]",0,0,0,0,0,0,0,0,0,397.271498081,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[52]",0,0,0,0,0,0,0,0,0,492.002371655,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[53]",0,0,0,0,0,0,0,0,0,614.536516359,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[54]",0,0,0,0,0,0,0,0,0,505.480568565,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[55]",0,0,0,0,0,0,0,0,0,151.364595712,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[56]",0,0,0,0,0,0,0,0,0,278.006139842,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[57]",0,0,0,0,0,0,0,0,0,467.175191801,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[58]",0,0,0,0,0,0,0,0,0,193.419309792,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[59]",0,0,0,0,0,0,0,0,0,417.397357193,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[60]",0,0,0,0,0,0,0,0,0,225.220213009,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[61]",0,0,0,0,0,0,0,0,0,594.047075235,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[62]",0,0,0,0,0,0,0,0,0,380.624130755,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[63]",0,0,0,0,0,0,0,0,0,608.757049632,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[64]",0,0,0,0,0,0,0,0,0,255.371971478,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[65]",0,0,0,0,0,0,0,0,0,624.813823487,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[66]",0,0,0,0,0,0,0,0,0,619.444336986,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[67]",0,0,0,0,0,0,0,0,0,627.117643124,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[68]",0,0,0,0,0,0,0,0,0,541.036734453,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[69]",0,0,0,0,0,0,0,0,0,283.994008325,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[70]",0,0,0,0,0,0,0,0,0,396.412695688,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[71]",0,0,0,0,0,0,0,0,0,270.73587057,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[72]",0,0,0,0,0,0,0,0,0,120.194038801,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[73]",0,0,0,0,0,0,0,0,0,625.361290256,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[74]",0,0,0,0,0,0,0,0,0,529.810307949,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[75]",0,0,0,0,0,0,0,0,0,534.240874269,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[76]",0,0,0,0,0,0,0,0,0,403.25344925,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[77]",0,0,0,0,0,0,0,0,0,169.353111156,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[78]",0,0,0,0,0,0,0,0,0,130.026865989,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[79]",0,0,0,0,0,0,0,0,0,247.102688949,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[80]",0,0,0,0,0,0,0,0,0,251.921681295,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[81]",0,0,0,0,0,0,0,0,0,604.474429744,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[82]",0,0,0,0,0,0,0,0,0,579.74635693,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[83]",0,0,0,0,0,0,0,0,0,176.215484162,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[84]",0,0,0,0,0,0,0,0,0,277.734812079,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[85]",0,0,0,0,0,0,0,0,0,432.020402412,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[86]",0,0,0,0,0,0,0,0,0,399.116094593,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[87]",0,0,0,0,0,0,0,0,0,502.571408789,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[88]",0,0,0,0,0,0,0,0,0,271.897770473,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[89]",0,0,0,0,0,0,0,0,0,273.235631276,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[90]",0,0,0,0,0,0,0,0,0,287.068868494,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[91]",0,0,0,0,0,0,0,0,0,435.383758409,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[92]",0,0,0,0,0,0,0,0,0,107.965033027,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[93]",0,0,0,0,0,0,0,0,0,218.841315952,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[94]",0,0,0,0,0,0,0,0,0,272.218004189,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[95]",0,0,0,0,0,0,0,0,0,544.241054755,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[96]",0,0,0,0,0,0,0,0,0,516.269983671,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[97]",0,0,0,0,0,0,0,0,0,435.973575923,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[98]",0,0,0,0,0,0,0,0,0,330.098678811,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[99]",0,0,0,0,0,0,0,0,0,370.254294026,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[100]",0,0,0,0,0,0,0,0,0,551.742075028,315,340
"Ocean.Initial Cold surface ocean pH[1]",0,0,0,0,0,0,0,0,0,8.40055240517,8.25,8.4
"Ocean.Initial Cold surface ocean pH[2]",0,0,0,0,0,0,0,0,0,8.35213651858,8.25,8.4
"Ocean.Initial Cold surface ocean pH[3]",0,0,0,0,0,0,0,0,0,8.25148978464,8.25,8.4
"Ocean.Initial Cold surface ocean pH[4]",0,0,0,0,0,0,0,0,0,8.16960399016,8.25,8.4
"Ocean.Initial Cold surface ocean pH[5]",0,0,0,0,0,0,0,0,0,8.33835808982,8.25,8.4
"Ocean.Initial Cold surface ocean pH[6]",0,0,0,0,0,0,0,0,0,8.29171703143,8.25,8.4
"Ocean.Initial Cold surface ocean pH[7]",0,0,0,0,0,0,0,0,0,8.3425326046,8.25,8.4
"Ocean.Initial Cold surface ocean pH[8]",0,0,0,0,0,0,0,0,0,8.35513168722,8.25,8.4
"Ocean.Initial Cold surface ocean pH[9]",0,0,0,0,0,0,0,0,0,8.38378605016,8.25,8.4
"Ocean.Initial Cold surface ocean pH[10]",0,0,0,0,0,0,0,0,0,8.24297307973,8.25,8.4
"Ocean.Initial Cold surface ocean pH[11]",0,0,0,0,0,0,0,0,0,8.39801172588,8.25,8.4
"Ocean.Initial Cold surface ocean pH[12]",0,0,0,0,0,0,0,0,0,8.36413917174,8.25,8.4
"Ocean.Initial Cold surface ocean pH[13]",0,0,0,0,0,0,0,0,0,8.21510499065,8.25,8.4
"Ocean.Initial Cold surface ocean pH[14]",0,0,0,0,0,0,0,0,0,8.2342784816,8.25,8.4
"Ocean.Initial Cold surface ocean pH[15]",0,0,0,0,0,0,0,0,0,8.30967648149,8.25,8.4
"Ocean.Initial Cold surface ocean pH[16]",0,0,0,0,0,0,0,0,0,8.41987158767,8.25,8.4
"Ocean.Initial Cold surface ocean pH[17]",0,0,0,0,0,0,0,0,0,8.49701842763,8.25,8.4
"Ocean.Initial Cold surface ocean pH[18]",0,0,0,0,0,0,0,0,0,8.26898742452,8.25,8.4
"Ocean.Initial Cold surface ocean pH[19]",0,0,0,0,0,0,0,0,0,8.33952616177,8.25,8.4
"Ocean.Initial Cold surface ocean pH[20]",0,0,0,0,0,0,0,0,0,8.38808753533,8.25,8.4
"Ocean.Initial Cold surface ocean pH[21]",0,0,0,0,0,0,0,0,0,8.20326272679,8.25,8.4
"Ocean.Initial Cold surface ocean pH[22]",0,0,0,0,0,0,0,0,0,8.33707912762,8.25,8.4
"Ocean.Initial Cold surface ocean pH[23]",0,0,0,0,0,0,0,0,0,8.2387210729,8.25,8.4
"Ocean.Initial Cold surface ocean pH[24]",0,0,0,0,0,0,0,0,0,8.3097546986,8.25,8.4
"Ocean.Initial Cold surface ocean pH[25]",0,0,0,0,0,0,0,0,0,8.35316734463,8.25,8.4
"Ocean.Initial Cold surface ocean pH[26]",0,0,0,0,0,0,0,0,0,8.40256001767,8.25,8.4
"Ocean.Initial Cold surface ocean pH[27]",0,0,0,0,0,0,0,0,0,8.23033397142,8.25,8.4
"Ocean.Initial Cold surface ocean pH[28]",0,0,0,0,0,0,0,0,0,8.26001650053,8.25,8.4
"Ocean.Initial Cold surface ocean pH[29]",0,0,0,0,0,0,0,0,0,8.28202946416,8.25,8.4
"Ocean.Initial Cold surface ocean pH[30]",0,0,0,0,0,0,0,0,0,8.24987923931,8.25,8.4
"Ocean.Initial Cold surface ocean pH[31]",0,0,0,0,0,0,0,0,0,8.23650119725,8.25,8.4
"Ocean.Initial Cold surface ocean pH[32]",0,0,0,0,0,0,0,0,0,8.27505772993,8.25,8.4
"Ocean.Initial Cold surface ocean pH[33]",0,0,0,0,0,0,0,0,0,8.49177796741,8.25,8.4
"Ocean.Initial Cold surface ocean pH[34]",0,0,0,0,0,0,0,0,0,8.28261157511,8.25,8.4
"Ocean.Initial Cold surface ocean pH[35]",0,0,0,0,0,0,0,0,0,8.36364074505,8.25,8.4
"Ocean.Initial Cold surface ocean pH[36]",0,0,0,0,0,0,0,0,0,8.24863694103,8.25,8.4
"Ocean.Initial Cold surface ocean pH[37]",0,0,0,0,0,0,0,0,0,8.23283327921,8.25,8.4
"Ocean.Initial Cold surface ocean pH[38]",0,0,0,0,0,0,0,0,0,8.22303643905,8.25,8.4
"Ocean.Initial Cold surface ocean pH[39]",0,0,0,0,0,0,0,0,0,8.24377180743,8.25,8.4
"Ocean.Initial Cold surface ocean pH[40]",0,0,0,0,0,0,0,0,0,8.1795670166,8.25,8.4
"Ocean.Initial Cold surface ocean pH[41]",0,0,0,0,0,0,0,0,0,8.29251112296,8.25,8.4
"Ocean.Initial Cold surface ocean pH[42]",0,0,0,0,0,0,0,0,0,8.29915683248,8.25,8.4
"Ocean.Initial Cold surface ocean pH[43]",0,0,0,0,0,0,0,0,0,8.24161986324,8.25,8.4
"Ocean.Initial Cold surface ocean pH[44]",0,0,0,0,0,0,0,0,0,8.38118084441,8.25,8.4
