Year,Energy Balance Model.Surface Temperature Anomaly[1]
2039.375,1.66741042151
2039.5,1.67066649062
2039.625,1.67388615407
2039.75,1.67707342981
2039.875,1.68023186291
2040,1.68336458263
2040.125,1.68647623612
2040.25,1.68957087444
2040.375,1.69265027822
2040.5,1.69571601129
2040.625,1.69876944876
2040.75,1.70181179695
2040.875,1.70484411291
2041,1.70786732278
2041.125,1.7108863606
2041.25,1.71390546598
2041.375,1.71692444687
2041.5,1.71994311925
2041.625,1.72296130919
2041.75,1.72597885209
2041.875,1.72899559039
2042,1.73201137391
2042.125,1.73504604158
2042.25,1.7381165793
2042.375,1.74121894369
2042.5,1.74434954879
2042.625,1.74750521298
2042.75,1.75068311221
2042.875,1.75388073799
2043,1.75709586309
2043.125,1.76033780391
2043.25,1.76361448113
2043.375,1.76692212222
2043.5,1.77025738262
2043.625,1.77361729759
2043.75,1.77699923636
2043.875,1.78040086794
2044,1.78382012674
2044.125,1.78726849894
2044.25,1.79075577244
2044.375,1.79427790854
2044.5,1.79783133598
2044.625,1.80141288086
2044.75,1.80501973022
2044.875,1.80864937988
2045,1.81229959783
2045.125,1.81600060934
2045.25,1.81977825893
2045.375,1.82362472448
2045.5,1.82753308381
2045.625,1.83149721215
2045.75,1.83551167491
2045.875,1.83957166198
2046,1.84367292627
2046.125,1.84779619424
2046.25,1.85192484077
2046.375,1.85605895429
2046.5,1.86019859921
2046.625,1.86434382752
2046.75,1.86849467309
2046.875,1.87265117694
2047,1.87681337799
2047.125,1.88098538916
2047.25,1.88517073655
2047.375,1.88936865633
2047.5,1.89357847092
2047.625,1.89779958294
2047.75,1.90203145702
2047.875,1.90627362737
2048,1.91052568512
2048.125,1.91475386587
2048.25,1.91892922753
2048.375,1.92305803548
2048.5,1.92714582765
2048.625,1.93119750432
2048.75,1.93521739778
2048.875,1.93920934748
2049,1.94317675949
2049.125,1.94708912713
2049.25,1.9509203879
2049.375,1.95467947692
2049.5,1.9583742865
2049.625,1.96201178662
2049.75,1.96559815798
2049.875,1.9691388869
2050,1.97263883311
2050.125,1.97608588622
2050.25,1.9794697916
2050.375,1.98279714198
2050.5,1.98607376796
2050.625,1.98930483007
2050.75,1.99249488946
2050.875,1.99564798431
2051,1.99876769156
2051.125,2.00188103781
2051.25,2.00501126997
2051.375,2.00815620309
2051.5,2.01131389465
2051.625,2.01448262518
2051.75,2.01766086165
2051.875,2.02084725044
2052,2.02404058746
2052.125,2.02724176746
2052.25,2.03045151447
2052.375,2.03366858045
2052.5,2.03689185072
2052.625,2.04012032994
2052.75,2.04335311841
2052.875,2.04658941746
2053,2.04982851002
2053.125,2.05307586347
2053.25,2.05633613223
2053.375,2.05960759133
2053.5,2.0628887009
2053.625,2.06617808676
2053.75,2.06947451519
2053.875,2.07277689085
2054,2.07608423507
2054.125,2.0794167701
2054.25,2.0827917999
2054.375,2.08620450715
2054.5,2.08965061648
2054.625,2.09312631226
2054.75,2.09662815545
2054.875,2.10015307201
2055,2.10369832286
2055.125,2.10728400419
2055.25,2.11092727745
2055.375,2.11462185486
2055.5,2.11836218184
2055.625,2.12214334449
2055.75,2.12596098084
2055.875,2.12981121708
2056,2.13369060452
2056.125,2.13760288107
2056.25,2.14155114334
